	myAUC	avg_diff	power	avg_logFC	pct.1	pct.2	cluster	gene
ENSG00000142676	0.2	-0.359030319120175	0.6	-0.359030319120178	1	1	3	ENSG00000142676
ENSG00000144713.1	0.202	-0.38418178707449	0.596	-0.384181787074491	1	1	3	ENSG00000144713
ENSG00000198918	0.208	-0.340618560197015	0.584	-0.340618560197017	0.997	1	3	ENSG00000198918
ENSG00000145425.2	0.212	-0.380964966430025	0.576	-0.380964966430024	0.997	1	3	ENSG00000145425
ENSG00000108518	0.786	0.740610663601851	0.572	0.740610663601853	0.99	0.962	3	ENSG00000108518
ENSG00000186468	0.215	-0.393390832999007	0.57	-0.393390832999006	0.997	1	3	ENSG00000186468
ENSG00000109475.1	0.221	-0.347143108660218	0.558	-0.347143108660216	1	1	3	ENSG00000109475
ENSG00000142937	0.222	-0.392818846802931	0.556	-0.392818846802932	0.997	1	3	ENSG00000142937
ENSG00000133112	0.225	-0.356608078565658	0.55	-0.356608078565659	1	1	3	ENSG00000133112
ENSG00000122026.1	0.228	-0.332149609079901	0.544	-0.332149609079902	1	1	3	ENSG00000122026
ENSG00000145220	0.766	1.11154751975778	0.532	1.11154751975778	0.653	0.184	3	ENSG00000145220
ENSG00000147604	0.236	-0.338289185972168	0.528	-0.338289185972169	1	1	3	ENSG00000147604
ENSG00000105640	0.236	-0.346633635149956	0.528	-0.346633635149954	0.997	1	3	ENSG00000105640
ENSG00000137154.1	0.238	-0.343293857089286	0.524	-0.343293857089284	1	1	3	ENSG00000137154
ENSG00000163682.1	0.239	-0.349760333589699	0.522	-0.349760333589701	1	1	3	ENSG00000163682
ENSG00000171476	0.76	1.41967046177313	0.52	1.41967046177313	0.567	0.066	3	ENSG00000171476
ENSG00000113088	0.755	1.71162090632914	0.51	1.71162090632914	0.552	0.053	3	ENSG00000113088
ENSG00000167526	0.245	-0.303008820089524	0.51	-0.303008820089526	0.997	1	3	ENSG00000167526
ENSG00000116251.1	0.247	-0.404692209798147	0.506	-0.404692209798146	0.977	0.998	3	ENSG00000116251
ENSG00000156482	0.249	-0.315533276597733	0.502	-0.315533276597735	0.997	1	3	ENSG00000156482
ENSG00000177600	0.25	-0.284723425205351	0.5	-0.284723425205353	0.997	1	3	ENSG00000177600
ENSG00000172809	0.254	-0.340992580832746	0.492	-0.340992580832747	0.995	1	3	ENSG00000172809
ENSG00000112306.1	0.255	-0.323484755878628	0.49	-0.323484755878627	1	1	3	ENSG00000112306
ENSG00000118181	0.256	-0.326916856519108	0.488	-0.326916856519108	0.992	0.999	3	ENSG00000118181
ENSG00000008988	0.258	-0.323396074352161	0.484	-0.32339607435216	0.997	0.999	3	ENSG00000008988
ENSG00000197958.1	0.258	-0.342546804432494	0.484	-0.342546804432493	0.997	1	3	ENSG00000197958
ENSG00000105193	0.261	-0.31850338942756	0.478	-0.318503389427558	0.997	1	3	ENSG00000105193
ENSG00000145592	0.263	-0.277674946342258	0.474	-0.277674946342257	0.997	1	3	ENSG00000145592
ENSG00000130255	0.263	-0.316550163168103	0.474	-0.316550163168103	0.997	1	3	ENSG00000130255
ENSG00000083845.1	0.263	-0.371184813796836	0.474	-0.371184813796834	0.982	0.998	3	ENSG00000083845
ENSG00000227507.1	0.264	-0.757521833536827	0.472	-0.757521833536826	0.593	0.897	3	ENSG00000227507
ENSG00000122406.1	0.269	-0.347698271147467	0.462	-0.34769827114747	0.992	0.997	3	ENSG00000122406
ENSG00000137818	0.27	-0.294330914941387	0.46	-0.294330914941387	1	1	3	ENSG00000137818
ENSG00000170889.1	0.273	-0.293214338561558	0.454	-0.293214338561556	0.995	1	3	ENSG00000170889
ENSG00000233927	0.274	-0.261761281307428	0.452	-0.261761281307429	0.997	1	3	ENSG00000233927
ENSG00000197540	0.725	1.01380003686098	0.45	1.01380003686098	0.609	0.261	3	ENSG00000197540
ENSG00000063177	0.275	-0.300656976384762	0.45	-0.30065697638476	0.997	1	3	ENSG00000063177
ENSG00000071082.1	0.277	-0.287966443522223	0.446	-0.287966443522222	0.997	1	3	ENSG00000071082
ENSG00000187118	0.722	1.59006967132315	0.444	1.59006967132314	0.49	0.073	3	ENSG00000187118
ENSG00000213402	0.722	0.561423559317406	0.444	0.561423559317407	0.917	0.782	3	ENSG00000213402
ENSG00000125691	0.278	-0.358866655454501	0.444	-0.3588666554545	0.961	0.998	3	ENSG00000125691
ENSG00000164587.1	0.279	-0.258517289914659	0.442	-0.258517289914656	1	1	3	ENSG00000164587
ENSG00000108298	0.279	-0.265285080672991	0.442	-0.265285080672992	1	1	3	ENSG00000108298
ENSG00000104408	0.279	-0.514944935224748	0.442	-0.514944935224747	0.728	0.931	3	ENSG00000104408
ENSG00000002586	0.72	0.789131486077057	0.44	0.789131486077057	0.718	0.448	3	ENSG00000002586
ENSG00000180644	0.717	1.66874888020555	0.434	1.66874888020555	0.453	0.029	3	ENSG00000180644
ENSG00000115523	0.715	3.19272299983816	0.43	3.19272299983816	0.477	0.081	3	ENSG00000115523
ENSG00000115738	0.713	0.808770512165485	0.426	0.808770512165486	0.793	0.552	3	ENSG00000115738
ENSG00000172757	0.713	0.483538346500877	0.426	0.483538346500875	0.974	0.934	3	ENSG00000172757
ENSG00000231500	0.288	-0.283390750171511	0.424	-0.28339075017151	1	1	3	ENSG00000231500
ENSG00000142347	0.712	0.898281389005915	0.424	0.898281389005915	0.549	0.175	3	ENSG00000142347
ENSG00000162244	0.29	-0.266903365139047	0.42	-0.266903365139048	0.997	1	3	ENSG00000162244
ENSG00000174444	0.292	-0.328622268837111	0.416	-0.328622268837108	0.979	0.991	3	ENSG00000174444
ENSG00000111796	0.708	1.43287647560532	0.416	1.43287647560532	0.549	0.176	3	ENSG00000111796
ENSG00000182899	0.293	-0.258991071599869	0.414	-0.258991071599868	1	1	3	ENSG00000182899
ENSG00000134539	0.707	1.3959345628297	0.414	1.3959345628297	0.42	0.009	3	ENSG00000134539
ENSG00000008517.1	0.705	0.644516157196941	0.41	0.644516157196942	0.852	0.747	3	ENSG00000008517
ENSG00000198755	0.297	-0.279545297830699	0.406	-0.279545297830697	1	0.998	3	ENSG00000198755
ENSG00000070756	0.299	-0.381654770390676	0.402	-0.381654770390675	0.907	0.985	3	ENSG00000070756
ENSG00000101608	0.701	0.486947083385939	0.402	0.486947083385941	0.933	0.879	3	ENSG00000101608
ENSG00000101439	1	3.4620157501615	1	3.4620157501615	1	0.061	4	ENSG00000101439
ENSG00000163131	0.999	2.82423103509284	0.998	2.82423103509284	1	0.324	4	ENSG00000163131
ENSG00000204482	0.999	2.65543406412406	0.998	2.65543406412406	1	0.119	4	ENSG00000204482
ENSG00000011600	0.997	3.10811408737905	0.994	3.10811408737905	1	0.101	4	ENSG00000011600
ENSG00000090382	0.995	4.52615401047412	0.99	4.52615401047412	0.992	0.117	4	ENSG00000090382
ENSG00000087086	0.995	2.19993352103296	0.99	2.19993352103295	1	0.992	4	ENSG00000087086
ENSG00000197956	0.993	1.9459006367543	0.986	1.9459006367543	1	0.833	4	ENSG00000197956
ENSG00000163220	0.992	4.74788151132478	0.984	4.74788151132478	0.992	0.211	4	ENSG00000163220
ENSG00000204472	0.992	2.39080341321515	0.984	2.39080341321515	0.996	0.269	4	ENSG00000204472
ENSG00000167996	0.99	1.61291489314196	0.98	1.61291489314196	1	0.993	4	ENSG00000167996
ENSG00000121552	0.987	2.52713230401546	0.974	2.52713230401546	0.975	0.01	4	ENSG00000121552
ENSG00000233276	0.987	2.20309766207772	0.974	2.20309766207772	0.992	0.328	4	ENSG00000233276
ENSG00000143546	0.985	4.54859285923583	0.97	4.54859285923583	0.975	0.109	4	ENSG00000143546
ENSG00000213741.1	0.015	-1.12439580967196	0.97	-1.12439580967197	1	1	4	ENSG00000213741
ENSG00000104904	0.983	1.34526376313311	0.966	1.34526376313311	1	0.862	4	ENSG00000104904
ENSG00000100316	0.017	-1.12216655447989	0.966	-1.12216655447989	0.996	1	4	ENSG00000100316
ENSG00000163563	0.981	2.57954211661674	0.962	2.57954211661674	0.967	0.02	4	ENSG00000163563
ENSG00000158869	0.981	2.4457142317692	0.962	2.4457142317692	0.988	0.077	4	ENSG00000158869
ENSG00000198242	0.019	-1.03560039567574	0.962	-1.03560039567574	0.992	1	4	ENSG00000198242
ENSG00000163041	0.98	1.43079814064464	0.96	1.43079814064464	0.996	0.886	4	ENSG00000163041
ENSG00000177954	0.02	-0.944282087279502	0.96	-0.9442820872795	1	1	4	ENSG00000177954
ENSG00000149273	0.02	-1.08990980063573	0.96	-1.08990980063573	1	1	4	ENSG00000149273
ENSG00000085265	0.979	2.90092503892558	0.958	2.90092503892558	0.959	0.028	4	ENSG00000085265
ENSG00000245532	0.976	2.10845313095481	0.952	2.10845313095481	0.992	0.582	4	ENSG00000245532
ENSG00000197746	0.976	2.06665949724454	0.952	2.06665949724454	0.975	0.289	4	ENSG00000197746
ENSG00000163191	0.974	1.90296422919817	0.948	1.90296422919817	0.988	0.291	4	ENSG00000163191
ENSG00000071082.2	0.028	-1.00780274317143	0.944	-1.00780274317143	1	1	4	ENSG00000071082
ENSG00000122862	0.971	1.73381712811219	0.942	1.73381712811219	1	0.584	4	ENSG00000122862
ENSG00000143947	0.029	-0.943081715936314	0.942	-0.943081715936315	1	1	4	ENSG00000143947
ENSG00000142541	0.034	-0.837384996967498	0.932	-0.837384996967499	1	1	4	ENSG00000142541
ENSG00000229117	0.035	-0.648781586821563	0.93	-0.648781586821565	1	1	4	ENSG00000229117
ENSG00000137154.2	0.035	-0.95921847980933	0.93	-0.95921847980933	1	1	4	ENSG00000137154
ENSG00000168028	0.037	-1.32819856772021	0.926	-1.32819856772021	0.852	0.996	4	ENSG00000168028
ENSG00000231500.1	0.038	-0.959403447861981	0.924	-0.959403447861979	1	1	4	ENSG00000231500
ENSG00000257764	0.962	2.47988546129967	0.924	2.47988546129967	0.93	0.022	4	ENSG00000257764
ENSG00000182287	0.961	1.88593618175017	0.922	1.88593618175017	0.959	0.203	4	ENSG00000182287
ENSG00000103187	0.959	1.52487553367776	0.918	1.52487553367776	0.996	0.576	4	ENSG00000103187
ENSG00000196154.2	0.958	1.52215906733273	0.916	1.52215906733273	1	0.759	4	ENSG00000196154
ENSG00000051523.1	0.958	1.30176585218401	0.916	1.30176585218401	1	0.848	4	ENSG00000051523
ENSG00000177600.1	0.043	-0.767683862279755	0.914	-0.767683862279756	1	1	4	ENSG00000177600
ENSG00000166441	0.043	-0.79092579663556	0.914	-0.790925796635557	1	1	4	ENSG00000166441
ENSG00000100097	0.954	2.07111294749973	0.908	2.07111294749973	0.979	0.28	4	ENSG00000100097
ENSG00000197249	0.954	2.04069225161982	0.908	2.04069225161982	0.909	0.007	4	ENSG00000197249
ENSG00000164587.2	0.047	-0.789116933858934	0.906	-0.789116933858933	1	1	4	ENSG00000164587
ENSG00000136826	0.953	2.10547199715406	0.906	2.10547199715406	0.93	0.069	4	ENSG00000136826
ENSG00000025708	0.953	1.97607984744138	0.906	1.97607984744138	0.942	0.111	4	ENSG00000025708
ENSG00000118181.1	0.048	-0.862821796522781	0.904	-0.862821796522779	0.992	0.999	4	ENSG00000118181
ENSG00000119655	0.952	1.73267460492335	0.904	1.73267460492335	0.955	0.225	4	ENSG00000119655
ENSG00000156482.1	0.05	-0.780811445927769	0.9	-0.780811445927771	1	1	4	ENSG00000156482
ENSG00000130066	0.95	1.94020802083806	0.9	1.94020802083806	0.975	0.476	4	ENSG00000130066
ENSG00000197728.1	0.051	-1.04370672228474	0.898	-1.04370672228474	0.979	1	4	ENSG00000197728
ENSG00000134419	0.052	-0.6885508131894	0.896	-0.688550813189399	1	1	4	ENSG00000134419
ENSG00000167526.1	0.052	-0.743315989688777	0.896	-0.743315989688777	1	1	4	ENSG00000167526
ENSG00000137331	0.947	2.27795639990129	0.894	2.27795639990129	0.93	0.125	4	ENSG00000137331
ENSG00000112306.2	0.054	-0.846398055922507	0.892	-0.846398055922506	1	1	4	ENSG00000112306
ENSG00000105372	0.054	-0.855166509870353	0.892	-0.855166509870353	1	1	4	ENSG00000105372
ENSG00000171858	0.054	-0.871343391135514	0.892	-0.871343391135512	0.988	1	4	ENSG00000171858
ENSG00000075624	0.946	1.02204481986648	0.892	1.02204481986648	1	0.998	4	ENSG00000075624
ENSG00000198804	0.946	0.875870003613221	0.892	0.875870003613222	1	1	4	ENSG00000198804
ENSG00000084207	0.945	1.64742981317813	0.89	1.64742981317813	0.971	0.336	4	ENSG00000084207
ENSG00000198034.1	0.058	-0.907704139712167	0.884	-0.907704139712169	1	0.999	4	ENSG00000198034
ENSG00000008988.1	0.063	-0.810855762182099	0.874	-0.810855762182098	0.988	1	4	ENSG00000008988
ENSG00000198755.1	0.063	-0.891447262312447	0.874	-0.891447262312445	0.975	1	4	ENSG00000198755
ENSG00000122406.2	0.065	-0.931800341348683	0.87	-0.931800341348685	0.967	0.999	4	ENSG00000122406
ENSG00000169429	0.933	3.6211778398789	0.866	3.6211778398789	0.885	0.092	4	ENSG00000169429
ENSG00000163221	0.932	2.6330863690982	0.864	2.63308636909821	0.868	0.014	4	ENSG00000163221
ENSG00000110077	0.932	2.07931785261171	0.864	2.07931785261171	0.868	0.011	4	ENSG00000110077
ENSG00000233927.1	0.069	-0.639138363540654	0.862	-0.639138363540654	1	1	4	ENSG00000233927
ENSG00000186468.1	0.069	-0.74905878432741	0.862	-0.749058784327409	1	1	4	ENSG00000186468
ENSG00000197766	0.93	1.8818733421451	0.86	1.8818733421451	0.872	0.033	4	ENSG00000197766
ENSG00000142676.1	0.07	-0.625204215250085	0.86	-0.625204215250086	1	1	4	ENSG00000142676
ENSG00000111640	0.929	1.07346406118987	0.858	1.07346406118987	0.996	0.901	4	ENSG00000111640
ENSG00000124172	0.929	0.794380405714719	0.858	0.794380405714718	1	0.973	4	ENSG00000124172
ENSG00000204287	0.928	1.73497131453587	0.856	1.73497131453587	0.992	0.197	4	ENSG00000204287
ENSG00000122026.2	0.072	-0.638824842733913	0.856	-0.638824842733912	1	1	4	ENSG00000122026
ENSG00000163682.2	0.073	-0.720168648440962	0.854	-0.72016864844096	1	1	4	ENSG00000163682
ENSG00000156508	0.075	-0.628391519017832	0.85	-0.628391519017834	1	1	4	ENSG00000156508
ENSG00000109475.2	0.077	-0.626588673630911	0.846	-0.62658867363091	1	1	4	ENSG00000109475
ENSG00000182899.1	0.079	-0.656952036876578	0.842	-0.656952036876577	0.996	1	4	ENSG00000182899
ENSG00000163931	0.92	1.54618346008918	0.84	1.54618346008918	0.926	0.255	4	ENSG00000163931
ENSG00000251562	0.081	-0.771328839719875	0.838	-0.771328839719875	1	1	4	ENSG00000251562
ENSG00000112096	0.916	1.86820223696497	0.832	1.86820223696497	0.897	0.222	4	ENSG00000112096
ENSG00000170345	0.916	1.37201179672519	0.832	1.37201179672518	0.992	0.916	4	ENSG00000170345
ENSG00000140988	0.084	-0.636204129912899	0.832	-0.636204129912896	0.992	1	4	ENSG00000140988
ENSG00000089157	0.084	-0.964048421815414	0.832	-0.964048421815415	0.942	0.993	4	ENSG00000089157
ENSG00000142669.1	0.915	1.00085537963204	0.83	1.00085537963205	1	0.893	4	ENSG00000142669
ENSG00000188846	0.085	-0.682259282176451	0.83	-0.68225928217645	0.996	0.999	4	ENSG00000188846
ENSG00000083845.2	0.085	-0.843615734786036	0.83	-0.843615734786034	0.979	0.997	4	ENSG00000083845
ENSG00000227507.2	0.085	-1.94666336472074	0.83	-1.94666336472074	0.313	0.907	4	ENSG00000227507
ENSG00000108298.1	0.086	-0.603898243835706	0.828	-0.603898243835705	1	1	4	ENSG00000108298
ENSG00000105193.1	0.086	-0.664166333894931	0.828	-0.66416633389493	1	1	4	ENSG00000105193
ENSG00000130255.1	0.087	-0.673771876542835	0.826	-0.673771876542835	1	1	4	ENSG00000130255
ENSG00000063177.1	0.088	-0.697171135139018	0.824	-0.697171135139018	0.996	1	4	ENSG00000063177
ENSG00000142937.1	0.09	-0.697886608091594	0.82	-0.697886608091595	1	1	4	ENSG00000142937
ENSG00000038427	0.909	2.0139724750834	0.818	2.0139724750834	0.823	0.01	4	ENSG00000038427
ENSG00000213402.1	0.093	-1.63143002220336	0.814	-1.63143002220336	0.14	0.864	4	ENSG00000213402
ENSG00000147403	0.094	-0.506535135286837	0.812	-0.506535135286838	1	1	4	ENSG00000147403
ENSG00000145425.3	0.094	-0.632090330684405	0.812	-0.632090330684404	1	1	4	ENSG00000145425
ENSG00000100906	0.905	1.53567035328005	0.81	1.53567035328006	0.971	0.808	4	ENSG00000100906
ENSG00000170458	0.901	1.9767896017471	0.802	1.9767896017471	0.807	0.011	4	ENSG00000170458
ENSG00000100300	0.898	1.21221510500191	0.796	1.21221510500191	0.942	0.479	4	ENSG00000100300
ENSG00000030582	0.897	1.52112197530677	0.794	1.52112197530677	0.823	0.059	4	ENSG00000030582
ENSG00000172809.1	0.104	-0.633275178281937	0.792	-0.633275178281937	0.996	0.999	4	ENSG00000172809
ENSG00000171863	0.104	-0.660855895319779	0.792	-0.660855895319778	0.996	0.999	4	ENSG00000171863
ENSG00000271614	0.895	1.80381432050581	0.79	1.80381432050581	0.848	0.145	4	ENSG00000271614
ENSG00000148303	0.106	-0.741988121016142	0.788	-0.741988121016143	0.959	0.999	4	ENSG00000148303
ENSG00000026025	0.893	1.10357812850123	0.786	1.10357812850123	1	0.844	4	ENSG00000026025
ENSG00000172243	0.892	1.6336070882622	0.784	1.6336070882622	0.79	0.01	4	ENSG00000172243
ENSG00000144713.2	0.108	-0.54404645314587	0.784	-0.54404645314587	1	1	4	ENSG00000144713
ENSG00000076944	0.89	1.58055476196736	0.78	1.58055476196736	0.844	0.148	4	ENSG00000076944
ENSG00000127951	0.89	1.55195906438882	0.78	1.55195906438882	0.786	0.008	4	ENSG00000127951
ENSG00000124614.1	0.11	-0.716314239379757	0.78	-0.716314239379757	0.984	0.999	4	ENSG00000124614
ENSG00000129226	0.889	1.4988478853426	0.778	1.4988478853426	0.786	0.012	4	ENSG00000129226
ENSG00000125740	0.886	1.17048889541487	0.772	1.17048889541487	0.963	0.784	4	ENSG00000125740
ENSG00000105640.1	0.116	-0.529194285834693	0.768	-0.529194285834691	1	1	4	ENSG00000105640
ENSG00000006075	0.882	2.50978770486763	0.764	2.50978770486763	0.798	0.089	4	ENSG00000006075
ENSG00000145592.1	0.12	-0.533131152998228	0.76	-0.533131152998228	1	1	4	ENSG00000145592
ENSG00000167286	0.12	-1.61055538176873	0.76	-1.61055538176873	0.152	0.812	4	ENSG00000167286
ENSG00000198851	0.121	-1.53518298280441	0.758	-1.53518298280441	0.152	0.81	4	ENSG00000198851
ENSG00000174748	0.122	-0.557574834414944	0.756	-0.557574834414944	1	1	4	ENSG00000174748
ENSG00000105373	0.122	-0.974346308929349	0.756	-0.974346308929349	0.753	0.965	4	ENSG00000105373
ENSG00000198502	0.877	1.58311347704702	0.754	1.58311347704702	0.864	0.13	4	ENSG00000198502
ENSG00000115268	0.124	-0.469434798522678	0.752	-0.469434798522674	1	1	4	ENSG00000115268
ENSG00000169442	0.124	-1.18671763688295	0.752	-1.18671763688295	0.502	0.977	4	ENSG00000169442
ENSG00000008517.2	0.125	-1.98293394040723	0.75	-1.98293394040723	0.181	0.817	4	ENSG00000008517
ENSG00000066336	0.874	1.53823632544459	0.748	1.53823632544459	0.761	0.022	4	ENSG00000066336
ENSG00000131469	0.126	-0.548436001517135	0.748	-0.548436001517135	1	1	4	ENSG00000131469
ENSG00000126759	0.873	1.47840969324564	0.746	1.47840969324564	0.774	0.047	4	ENSG00000126759
ENSG00000019582	0.873	0.852727272751814	0.746	0.852727272751813	0.979	0.534	4	ENSG00000019582
ENSG00000114942	0.127	-0.868192264371607	0.746	-0.868192264371606	0.897	0.991	4	ENSG00000114942
ENSG00000136942	0.131	-0.56296904948037	0.738	-0.562969049480367	0.992	0.999	4	ENSG00000136942
ENSG00000104870	0.867	1.40129025552061	0.734	1.40129025552061	0.802	0.119	4	ENSG00000104870
ENSG00000198712	0.866	0.566162912087537	0.732	0.566162912087539	1	1	4	ENSG00000198712
ENSG00000197756	0.134	-0.522983786547034	0.732	-0.522983786547034	1	1	4	ENSG00000197756
ENSG00000174444.1	0.135	-0.718358795340054	0.73	-0.718358795340055	0.938	0.995	4	ENSG00000174444
ENSG00000117984	0.864	1.29661859904327	0.728	1.29661859904327	0.848	0.212	4	ENSG00000117984
ENSG00000156411	0.863	0.925047283416019	0.726	0.925047283416021	0.988	0.656	4	ENSG00000156411
ENSG00000144802	0.862	1.31912606474984	0.724	1.31912606474984	0.835	0.178	4	ENSG00000144802
ENSG00000196126	0.861	1.3804996860994	0.722	1.38049968609939	0.868	0.175	4	ENSG00000196126
ENSG00000198888	0.859	0.630383474063798	0.718	0.630383474063796	1	0.993	4	ENSG00000198888
ENSG00000165168	0.858	1.47340158419205	0.716	1.47340158419205	0.737	0.028	4	ENSG00000165168
ENSG00000104763	0.855	1.28638841954309	0.71	1.28638841954309	0.786	0.13	4	ENSG00000104763
ENSG00000136238	0.855	1.08985618628458	0.71	1.08985618628458	0.881	0.316	4	ENSG00000136238
ENSG00000198938	0.855	0.54737028459303	0.71	0.547370284593031	1	0.999	4	ENSG00000198938
ENSG00000089009	0.146	-0.532365609327527	0.708	-0.532365609327526	0.996	0.999	4	ENSG00000089009
ENSG00000131981	0.846	1.28606003649853	0.692	1.28606003649853	0.741	0.068	4	ENSG00000131981
ENSG00000088832	0.845	1.09032578577468	0.69	1.09032578577468	0.872	0.384	4	ENSG00000088832
ENSG00000182718	0.841	1.22208095569106	0.682	1.22208095569106	0.819	0.223	4	ENSG00000182718
ENSG00000042753	0.841	1.08018887569219	0.682	1.08018887569219	0.811	0.211	4	ENSG00000042753
ENSG00000113269	0.839	1.27027221465833	0.678	1.27027221465833	0.712	0.049	4	ENSG00000113269
ENSG00000197629	0.837	1.26625261067547	0.674	1.26625261067547	0.683	0.011	4	ENSG00000197629
ENSG00000111716	0.164	-1.17250142563544	0.672	-1.17250142563544	0.444	0.843	4	ENSG00000111716
ENSG00000103490	0.835	1.14089842606425	0.67	1.14089842606425	0.778	0.163	4	ENSG00000103490
ENSG00000105835	0.833	1.34679537443993	0.666	1.34679537443993	0.724	0.088	4	ENSG00000105835
ENSG00000125538	0.832	1.84870526110063	0.664	1.84870526110063	0.671	0.013	4	ENSG00000125538
ENSG00000090013	0.831	1.26060033484064	0.662	1.26060033484064	0.695	0.047	4	ENSG00000090013
ENSG00000011422	0.83	1.43405671374028	0.66	1.43405671374028	0.683	0.032	4	ENSG00000011422
ENSG00000116701	0.83	1.24483786564381	0.66	1.24483786564381	0.667	0.008	4	ENSG00000116701
ENSG00000103363	0.83	0.882877136401871	0.66	0.882877136401872	0.959	0.64	4	ENSG00000103363
ENSG00000164111	0.829	1.12238272205091	0.658	1.12238272205091	0.77	0.167	4	ENSG00000164111
