Gene ID	Gene name	Infection/Control : logFC	Infection/Control : logCPM	Infection/Control : PValue	Infection/Control : QValue
ENSMUSG00000086235	Gm16284	0.21	-1.78	1.00	1.00
ENSMUSG00000084353	Gm15452	-2.48	-2.80	0.88	1.00
ENSMUSG00000103933	Gm36964	0.81	-1.46	0.65	1.00
ENSMUSG00000103819	Gm38008	1.30	-2.58	0.76	1.00
ENSMUSG00000101571	Gm6187	1.39	-2.89	1.00	1.00
ENSMUSG00000102272	Gm7512	-1.72	-2.88	1.00	1.00
ENSMUSG00000103411	Gm18300	1.51	-2.89	1.00	1.00
ENSMUSG00000061024	Rrs1	0.61	4.42	0.01	0.07
ENSMUSG00000025911	Adhfe1	0.32	3.41	0.47	1.00
ENSMUSG00000079671	2610203C22Rik	-1.20	-2.22	0.72	1.00
ENSMUSG00000081441	Gm6161	0.38	2.55	0.51	1.00
ENSMUSG00000067879	3110035E14Rik	-1.20	8.01	0.00	0.01
ENSMUSG00000025912	Mybl1	-0.06	2.60	1.00	1.00
ENSMUSG00000045210	Vcpip1	0.21	6.05	0.43	1.00
ENSMUSG00000025915	Sgk3	0.88	4.07	0.00	0.01
ENSMUSG00000046334	Gm6195	0.52	-2.72	1.00	1.00
ENSMUSG00000046101	Mcmdc2	-0.45	1.90	0.35	0.98
ENSMUSG00000098234	Snhg6	0.96	5.54	0.07	0.37
ENSMUSG00000099032	Tcf24	0.67	-1.54	0.88	1.00
ENSMUSG00000025916	Ppp1r42	-1.43	0.46	0.01	0.11
ENSMUSG00000025917	Cops5	0.07	6.78	0.89	1.00
ENSMUSG00000056763	Cspp1	-0.78	5.88	0.00	0.01
ENSMUSG00000067851	Arfgef1	0.04	6.24	1.00	1.00
ENSMUSG00000042501	Cpa6	-0.59	0.44	0.55	1.00
ENSMUSG00000083422	Gm15604	-1.61	-2.06	0.52	1.00
ENSMUSG00000100648	Gm28659	1.39	-2.89	1.00	1.00
ENSMUSG00000048960	Prex2	-0.46	5.34	0.03	0.19
ENSMUSG00000101827	Gm28686	2.59	-2.73	0.84	1.00
ENSMUSG00000057715	A830018L16Rik	-0.65	4.62	0.01	0.06
ENSMUSG00000101610	Gm7560	2.28	-2.80	0.88	1.00
ENSMUSG00000097628	Gm2383	-0.34	0.76	0.71	1.00
ENSMUSG00000097171	Gm17644	-2.52	-2.80	0.88	1.00
ENSMUSG00000016918	Sulf1	0.37	4.01	0.18	0.69
ENSMUSG00000025938	Slco5a1	0.60	2.07	0.20	0.72
ENSMUSG00000042414	Prdm14	1.53	-2.89	1.00	1.00
ENSMUSG00000005886	Ncoa2	0.18	5.70	0.54	1.00
ENSMUSG00000025935	Tram1	0.14	5.60	0.75	1.00
ENSMUSG00000025937	Lactb2	0.00	3.56	1.00	1.00
ENSMUSG00000067813	Xkr9	2.26	-2.80	0.88	1.00
ENSMUSG00000097711	Gm5523	-0.72	-2.16	0.95	1.00
ENSMUSG00000025932	Eya1	-0.02	3.02	1.00	1.00
ENSMUSG00000025930	Msc	-0.59	1.11	0.43	1.00
ENSMUSG00000081201	Smt3h2-ps4	0.30	-2.73	1.00	1.00
ENSMUSG00000082193	Rpl5-ps1	-0.01	6.57	1.00	1.00
ENSMUSG00000032769	Trpa1	-1.37	-2.10	0.59	1.00
ENSMUSG00000092083	Kcnb2	-0.54	5.31	0.03	0.18
ENSMUSG00000101652	Gm6060	-1.69	-2.89	1.00	1.00
ENSMUSG00000025925	Terf1	0.28	3.82	0.52	1.00
ENSMUSG00000032719	Sbspon	-0.94	-0.91	0.37	1.00
ENSMUSG00000100652	Gm7634	1.53	-2.52	0.76	1.00
ENSMUSG00000067795	4930444P10Rik	-0.48	0.46	0.60	1.00
ENSMUSG00000043716	Rpl7	0.37	1.96	0.63	1.00
ENSMUSG00000025921	Rdh10	0.62	3.62	0.03	0.19
ENSMUSG00000025920	Stau2	-0.47	6.13	0.03	0.19
ENSMUSG00000025939	Ube2w	-0.14	5.40	0.68	1.00
ENSMUSG00000079658	Eloc	-0.22	6.83	0.47	1.00
ENSMUSG00000097744	D030040B21Rik	1.03	-2.59	0.98	1.00
ENSMUSG00000025940	Tmem70	-0.23	5.28	0.45	1.00
ENSMUSG00000025779	Ly96	0.93	0.39	0.14	0.59
ENSMUSG00000091020	Gm5828	-0.13	2.79	0.84	1.00
ENSMUSG00000042686	Jph1	-0.17	4.74	0.70	1.00
ENSMUSG00000100110	Gm28783	3.41	-2.53	0.42	1.00
ENSMUSG00000025777	Gdap1	-0.36	7.23	0.10	0.46
ENSMUSG00000099899	Gm28784	0.43	-0.45	0.74	1.00
ENSMUSG00000100398	Gm5251	2.36	-0.46	0.00	0.05
ENSMUSG00000101589	Rbm6-ps1	0.02	1.56	1.00	1.00
ENSMUSG00000067780	Pi15	-0.89	-0.98	0.58	1.00
ENSMUSG00000025776	Crispld1	-0.52	2.03	0.39	1.00
ENSMUSG00000100554	Gm7690	-0.25	-0.09	0.89	1.00
ENSMUSG00000099473	Gm18775	-1.50	-2.65	0.90	1.00
ENSMUSG00000099591	Gm17969	-1.44	-2.65	0.98	1.00
ENSMUSG00000109887	Gm28756	0.70	-0.44	0.48	1.00
ENSMUSG00000067773	Defb41	1.39	-2.89	1.00	1.00
ENSMUSG00000101685	Gm17837	0.19	2.32	0.84	1.00
ENSMUSG00000042596	Tfap2d	-0.20	0.33	0.90	1.00
ENSMUSG00000100720	Gm10075	0.92	-2.04	0.85	1.00
ENSMUSG00000025927	Tfap2b	-0.15	4.46	0.80	1.00
ENSMUSG00000100204	Gm4849	0.43	-0.90	0.90	1.00
ENSMUSG00000043760	Pkhd1	-2.91	-2.72	0.77	1.00
ENSMUSG00000090142	Gm15795	-1.11	-2.51	0.95	1.00
ENSMUSG00000099906	Gm28653	-0.15	-1.07	1.00	1.00
ENSMUSG00000025929	Il17a	1.39	-2.89	1.00	1.00
ENSMUSG00000041872	Il17f	1.20	-2.13	0.76	1.00
ENSMUSG00000041859	Mcm3	1.85	3.31	0.00	0.00
ENSMUSG00000097934	6720483E21Rik	0.01	-0.26	1.00	1.00
ENSMUSG00000025931	Paqr8	-0.23	6.62	0.38	1.00
ENSMUSG00000100929	Gm28064	-0.81	-1.52	0.63	1.00
ENSMUSG00000041809	Efhc1	0.93	0.43	0.12	0.55
ENSMUSG00000041779	Tram2	1.46	1.78	0.00	0.03
ENSMUSG00000100819	Gm2693	-1.44	-2.65	0.93	1.00
ENSMUSG00000025933	Tmem14a	-0.35	4.78	0.19	0.71
ENSMUSG00000025934	Gsta3	-1.24	0.75	0.07	0.37
ENSMUSG00000096375	Gm7094	-0.38	2.77	0.32	0.95
ENSMUSG00000025936	Gm4956	1.53	-2.27	0.63	1.00
ENSMUSG00000067750	Khdc1a	2.82	-2.05	0.23	0.80
ENSMUSG00000041722	Khdc1c	-1.72	-2.88	1.00	1.00
ENSMUSG00000028033	Kcnq5	-0.25	4.47	0.52	1.00
ENSMUSG00000082935	Gm7658	0.21	2.74	0.78	1.00
ENSMUSG00000097109	Gm26580	-8.45	0.53	0.01	0.11
ENSMUSG00000041670	Rims1	-0.69	7.56	0.00	0.00
ENSMUSG00000073730	4933415F23Rik	0.65	-2.51	1.00	1.00
ENSMUSG00000097970	Gm27028	1.39	-2.89	1.00	1.00
ENSMUSG00000100775	Gm29107	-0.28	0.66	0.80	1.00
ENSMUSG00000026158	Ogfrl1	-0.05	7.96	0.94	1.00
ENSMUSG00000097920	Gm7784	-0.27	-2.27	1.00	1.00
ENSMUSG00000099503	Gm28822	-0.87	-1.64	0.68	1.00
ENSMUSG00000026156	B3gat2	-0.78	3.89	0.04	0.24
ENSMUSG00000026155	Smap1	-0.05	6.58	1.00	1.00
ENSMUSG00000026154	Sdhaf4	-0.17	4.55	0.65	1.00
ENSMUSG00000026153	Fam135a	-0.18	5.34	0.65	1.00
ENSMUSG00000026147	Col9a1	0.54	0.84	0.35	0.99
ENSMUSG00000026141	Col19a1	-0.41	3.43	0.20	0.73
ENSMUSG00000099997	Tubb4b-ps2	-1.79	-2.58	0.83	1.00
ENSMUSG00000100131	Gm28439	-6.38	0.06	0.04	0.26
ENSMUSG00000067736	Gm10222	-1.66	1.26	0.16	0.64
ENSMUSG00000101939	Gm28438	-0.32	4.70	0.31	0.93
ENSMUSG00000101111	Gm28437	-8.35	0.43	0.01	0.12
ENSMUSG00000100862	Gm10925	-8.04	0.15	0.02	0.14
ENSMUSG00000102070	Gm28661	-9.40	1.44	0.01	0.07
ENSMUSG00000101249	Gm29216	-8.28	3.91	0.00	0.01
ENSMUSG00000073725	Lmbrd1	-0.25	7.29	0.28	0.89
ENSMUSG00000100450	Gm9443	0.29	-0.56	0.90	1.00
ENSMUSG00000099392	Gm29414	1.39	-2.89	1.00	1.00
ENSMUSG00000033569	Adgrb3	-0.27	7.12	0.20	0.73
ENSMUSG00000080849	Gm15702	1.15	-1.98	0.61	1.00
ENSMUSG00000101301	Gm29214	-0.38	1.32	0.54	1.00
ENSMUSG00000101514	Gm5524	-0.45	1.04	0.51	1.00
ENSMUSG00000101372	Gm19028	-0.59	-1.14	0.71	1.00
ENSMUSG00000086240	Gm7846	1.07	-0.94	0.37	1.00
ENSMUSG00000048411	Gm597	-1.72	-2.88	1.00	1.00
ENSMUSG00000081557	Gm5697	0.04	1.45	1.00	1.00
ENSMUSG00000099492	Gm5525	0.27	0.07	0.92	1.00
ENSMUSG00000101726	Gm7858	0.06	-1.58	1.00	1.00
ENSMUSG00000053185	Gm9898	-0.93	-2.72	1.00	1.00
ENSMUSG00000100261	Gm6473	-0.33	-1.94	1.00	1.00
ENSMUSG00000048874	Phf3	-0.18	6.68	0.50	1.00
ENSMUSG00000026064	Ptp4a1	-0.28	5.18	0.33	0.95
ENSMUSG00000050217	Lgsn	-2.48	-2.80	0.88	1.00
ENSMUSG00000094215	Gm6489	-1.41	-2.44	0.92	1.00
ENSMUSG00000070960	Gm19680	0.62	-1.11	0.72	1.00
ENSMUSG00000082159	Gm7910	-1.11	-2.51	0.98	1.00
ENSMUSG00000026058	Khdrbs2	-0.30	4.84	0.26	0.85
ENSMUSG00000091318	Gm5415	-7.92	0.04	0.02	0.15
ENSMUSG00000102917	Gm37724	-0.95	-2.11	0.67	1.00
ENSMUSG00000100481	Gm7114	-0.15	3.40	0.79	1.00
ENSMUSG00000100590	Gm4785	1.15	-2.39	0.75	1.00
ENSMUSG00000101612	Gm7933	0.03	-1.45	1.00	1.00
ENSMUSG00000026134	Prim2	-0.06	2.95	1.00	1.00
ENSMUSG00000101682	Gm29228	-0.14	-1.92	1.00	1.00
ENSMUSG00000004768	Rab23	-0.04	3.84	1.00	1.00
ENSMUSG00000042215	Bag2	-0.43	2.76	0.21	0.74
ENSMUSG00000042197	Zfp451	-0.16	6.39	0.60	1.00
ENSMUSG00000081402	Gm15455	1.34	-1.44	0.38	1.00
ENSMUSG00000042182	Bend6	-0.46	7.48	0.06	0.33
ENSMUSG00000026131	Dst	-0.08	8.32	0.88	1.00
ENSMUSG00000096992	Gm26788	-2.31	-1.47	0.21	0.75
ENSMUSG00000101462	Gm3052	-0.76	1.18	0.36	1.00
ENSMUSG00000102336	Gm37233	-0.88	1.13	0.14	0.58
ENSMUSG00000042111	Ccdc115	0.74	4.74	0.01	0.06
ENSMUSG00000026127	Imp4	0.20	4.86	0.56	1.00
ENSMUSG00000026126	Ptpn18	1.02	4.22	0.00	0.00
ENSMUSG00000100280	Gm28417	-1.56	-0.70	0.28	0.89
ENSMUSG00000101223	4930568A12Rik	1.01	-1.82	0.77	1.00
ENSMUSG00000026125	Prss39	1.53	-2.89	1.00	1.00
ENSMUSG00000026124	Cfc1	0.10	-2.32	1.00	1.00
ENSMUSG00000037529	Prss40	2.74	-2.67	0.77	1.00
ENSMUSG00000045174	Amer3	-0.57	3.25	0.07	0.38
ENSMUSG00000103521	Gm29730	3.89	-2.35	0.34	0.98
ENSMUSG00000104098	AA619741	1.53	-2.89	1.00	1.00
ENSMUSG00000037509	Arhgef4	-0.30	6.38	0.17	0.67
ENSMUSG00000102537	Gm37224	-1.74	-2.88	1.00	1.00
ENSMUSG00000037503	Fam168b	0.01	6.74	1.00	1.00
ENSMUSG00000026123	Plekhb2	0.12	7.51	0.82	1.00
ENSMUSG00000103548	Gm37670	-0.71	3.96	0.10	0.47
ENSMUSG00000103760	Gm8009	-0.04	-0.08	1.00	1.00
ENSMUSG00000103997	Gm38027	-0.24	-2.34	1.00	1.00
ENSMUSG00000101714	Gm28415	1.52	-2.89	1.00	1.00
ENSMUSG00000102531	1110002O04Rik	-0.15	-1.32	1.00	1.00
ENSMUSG00000103708	Gm33222	-0.22	-2.80	1.00	1.00
ENSMUSG00000045216	Hs6st1	-0.12	5.89	0.80	1.00
ENSMUSG00000102202	Gm33280	-2.11	-2.21	0.69	1.00
ENSMUSG00000037470	Uggt1	-0.11	5.58	0.82	1.00
ENSMUSG00000047180	Neurl3	4.17	2.15	0.00	0.00
ENSMUSG00000037447	Arid5a	2.42	4.54	0.00	0.00
ENSMUSG00000102762	4930403P22Rik	3.35	-1.80	0.05	0.29
ENSMUSG00000010453	Kansl3	0.16	6.51	0.65	1.00
ENSMUSG00000037432	Fer1l5	2.28	-2.80	0.88	1.00
ENSMUSG00000001143	Lman2l	-0.29	4.84	0.30	0.91
ENSMUSG00000037408	Cnnm4	0.40	3.28	0.16	0.64
ENSMUSG00000001138	Cnnm3	0.30	5.04	0.35	0.98
ENSMUSG00000067653	Ankrd23	-2.75	-2.32	0.47	1.00
ENSMUSG00000079610	Ankrd39	0.30	4.11	0.42	1.00
ENSMUSG00000026121	Sema4c	0.78	4.91	0.00	0.01
ENSMUSG00000087589	D430040D24Rik	0.98	-0.60	0.40	1.00
ENSMUSG00000046337	Fam178b	-0.89	-0.18	0.27	0.87
ENSMUSG00000089906	Gm6428	0.44	1.57	0.34	0.98
ENSMUSG00000061518	Cox5b	-0.07	8.19	0.91	1.00
ENSMUSG00000037351	Actr1b	-0.21	7.63	0.40	1.00
ENSMUSG00000102416	4933424G06Rik	-1.33	-2.02	0.54	1.00
ENSMUSG00000104237	Gm33533	-0.02	-1.40	1.00	1.00
ENSMUSG00000026117	Zap70	1.03	1.42	0.00	0.05
ENSMUSG00000026116	Tmem131	-0.26	3.93	0.44	1.00
ENSMUSG00000102930	Gm38115	0.35	1.67	0.67	1.00
ENSMUSG00000080054	Rpl12-ps1	-1.89	-2.10	0.53	1.00
ENSMUSG00000050122	Vwa3b	0.31	0.60	0.73	1.00
ENSMUSG00000026114	Cnga3	2.13	-1.77	0.24	0.81
ENSMUSG00000026113	Inpp4a	-0.22	5.64	0.45	1.00
ENSMUSG00000026112	Coa5	0.07	5.96	0.88	1.00
ENSMUSG00000026111	Unc50	0.41	5.35	0.16	0.63
ENSMUSG00000026110	Mgat4a	0.09	4.97	0.88	1.00
ENSMUSG00000087233	Gm43213	-0.17	3.12	0.82	1.00
ENSMUSG00000026090	2010300C02Rik	-0.30	6.33	0.26	0.85
ENSMUSG00000060771	Tsga10	-0.96	3.74	0.00	0.00
ENSMUSG00000037216	Lipt1	-0.43	2.17	0.52	1.00
ENSMUSG00000026088	Mitd1	1.90	4.93	0.00	0.00
ENSMUSG00000026087	Mrpl30	0.40	5.34	0.09	0.46
ENSMUSG00000061584	Lyg2	-1.83	-2.58	0.81	1.00
ENSMUSG00000058407	Txndc9	0.46	6.06	0.05	0.29
ENSMUSG00000026083	Eif5b	-0.05	8.27	0.95	1.00
ENSMUSG00000026082	Rev1	0.44	5.05	0.47	1.00
ENSMUSG00000037138	Aff3	-0.43	4.98	0.13	0.56
ENSMUSG00000048814	Lonrf2	-0.47	5.66	0.07	0.37
ENSMUSG00000026080	Chst10	-0.55	5.90	0.02	0.14
ENSMUSG00000102447	Gm6621	0.36	-2.58	1.00	1.00
ENSMUSG00000067604	Nms	-0.62	-1.88	0.86	1.00
ENSMUSG00000026078	Pdcl3	0.07	4.35	0.93	1.00
ENSMUSG00000026077	Npas2	-0.68	3.72	0.04	0.24
ENSMUSG00000092563	Gm3617	-0.87	2.57	0.04	0.23
ENSMUSG00000073702	Rpl31	0.15	6.30	0.67	1.00
ENSMUSG00000003134	Tbc1d8	0.51	3.75	0.34	0.97
ENSMUSG00000003135	Cnot11	0.51	4.65	0.05	0.30
ENSMUSG00000085894	Gm15832	0.74	2.76	0.08	0.41
ENSMUSG00000048234	Rnf149	1.51	2.93	0.00	0.00
ENSMUSG00000102471	Gm5100	-1.64	-2.00	0.58	1.00
ENSMUSG00000050967	Creg2	-0.28	4.58	0.41	1.00
ENSMUSG00000057173	Rfx8	-0.07	-1.27	1.00	1.00
ENSMUSG00000091937	Gm3646	0.75	-2.66	1.00	1.00
ENSMUSG00000101634	1700066B17Rik	3.44	-2.58	0.65	1.00
ENSMUSG00000026074	Map4k4	0.20	7.21	0.67	1.00
ENSMUSG00000026073	Il1r2	5.10	2.47	0.00	0.00
ENSMUSG00000026072	Il1r1	1.30	2.58	0.00	0.00
ENSMUSG00000070942	Il1rl2	2.12	0.01	0.00	0.02
ENSMUSG00000026069	Il1rl1	1.39	-1.56	0.33	0.96
ENSMUSG00000026070	Il18r1	3.64	-0.55	0.00	0.00
ENSMUSG00000026068	Il18rap	7.02	0.94	0.00	0.00
ENSMUSG00000026065	Slc9a4	0.15	0.24	1.00	1.00
ENSMUSG00000026062	Slc9a2	0.14	2.65	0.88	1.00
ENSMUSG00000041945	Mfsd9	0.06	1.79	1.00	1.00
ENSMUSG00000079588	Tmem182	0.09	-1.94	1.00	1.00
ENSMUSG00000104072	4930448I06Rik	2.77	-2.73	0.78	1.00
ENSMUSG00000100832	Gm29260	0.51	-2.17	1.00	1.00
ENSMUSG00000101877	Gm8176	3.03	-2.65	0.38	1.00
ENSMUSG00000053640	Gm9915	-2.48	-2.80	0.88	1.00
ENSMUSG00000101299	Gm28175	-0.87	0.45	0.22	0.77
ENSMUSG00000100180	Gm28140	-1.72	-2.88	1.00	1.00
ENSMUSG00000060424	Pantr1	-0.93	5.87	0.00	0.02
ENSMUSG00000045515	Pou3f3	-0.60	6.51	0.02	0.16
ENSMUSG00000097063	Pantr2	-1.27	0.87	0.03	0.19
ENSMUSG00000099784	Dalir	-1.10	0.86	0.01	0.12
ENSMUSG00000060679	Mrps9	-0.03	5.19	1.00	1.00
ENSMUSG00000041907	Gpr45	-0.53	3.23	0.18	0.67
ENSMUSG00000070939	Tgfbrap1	0.41	5.01	0.18	0.69
ENSMUSG00000010290	AI597479	-0.50	4.32	0.03	0.22
ENSMUSG00000008136	Fhl2	0.40	4.88	0.19	0.71
ENSMUSG00000094497	Gm8210	0.18	2.91	0.71	1.00
ENSMUSG00000099694	Gm29610	2.77	-2.73	0.78	1.00
ENSMUSG00000101923	Gm29041	-1.74	-2.88	1.00	1.00
ENSMUSG00000066877	Nck2	-0.11	4.55	0.84	1.00
ENSMUSG00000026051	1500015O10Rik	-0.89	3.96	0.00	0.01
ENSMUSG00000100635	Gm29157	-1.55	-2.21	0.65	1.00
ENSMUSG00000100480	Gm29156	0.89	-1.07	0.68	1.00
ENSMUSG00000057363	Uxs1	0.28	5.01	0.37	1.00
ENSMUSG00000090243	Gm16103	-1.57	-2.45	0.52	1.00
ENSMUSG00000100701	Gm19587	-0.39	-0.83	0.83	1.00
ENSMUSG00000101395	Gm8241	1.01	-2.65	0.98	1.00
ENSMUSG00000041763	Tpp2	0.39	6.12	0.16	0.65
ENSMUSG00000047343	Mettl21c	0.44	-2.38	1.00	1.00
ENSMUSG00000091844	Gm8251	0.02	-1.54	1.00	1.00
ENSMUSG00000026049	Tex30	0.41	3.06	0.31	0.93
ENSMUSG00000026047	Kdelc1	-0.42	2.28	0.24	0.81
ENSMUSG00000041684	Bivm	-0.34	4.22	0.22	0.77
ENSMUSG00000026048	Ercc5	-0.21	4.80	0.49	1.00
ENSMUSG00000046828	Mettl21e	1.88	-2.12	0.43	1.00
ENSMUSG00000089703	Gm15833	-0.34	-2.81	1.00	1.00
ENSMUSG00000100769	Gm28893	1.39	-2.89	1.00	1.00
ENSMUSG00000101567	Txn-ps1	1.64	3.06	0.00	0.00
ENSMUSG00000056870	Gulp1	0.05	2.58	1.00	1.00
ENSMUSG00000100434	Gm3489	-0.98	-1.68	0.45	1.00
ENSMUSG00000101937	Gm5268	0.18	-1.55	1.00	1.00
ENSMUSG00000026043	Col3a1	0.65	2.61	0.07	0.39
ENSMUSG00000026042	Col5a2	0.52	2.51	0.16	0.65
ENSMUSG00000100218	Gm8296	0.45	-2.34	1.00	1.00
ENSMUSG00000100361	Gm7063	-2.40	-2.16	0.15	0.62
ENSMUSG00000100894	Gm8304	0.75	-1.98	0.76	1.00
ENSMUSG00000025995	Wdr75	0.13	4.49	0.78	1.00
ENSMUSG00000099850	Gm28906	1.53	-2.89	1.00	1.00
ENSMUSG00000084817	Gm5526	0.40	1.06	0.57	1.00
ENSMUSG00000025993	Slc40a1	-1.16	2.47	0.00	0.00
ENSMUSG00000099946	Gm9496	-1.06	-0.11	0.17	0.66
ENSMUSG00000070896	Rpl23a-ps1	-0.32	2.40	0.49	1.00
ENSMUSG00000099432	Gm18849	1.39	-2.89	1.00	1.00
ENSMUSG00000041144	Dnah7b	-0.11	2.47	0.88	1.00
ENSMUSG00000101262	Gm8326	-0.26	3.69	0.49	1.00
ENSMUSG00000101337	Dnah7c	0.06	-0.25	1.00	1.00
ENSMUSG00000025986	Slc39a10	-0.60	5.71	0.04	0.23
ENSMUSG00000100213	Gm28151	-0.16	3.79	0.88	1.00
ENSMUSG00000100160	Gm28527	1.53	-2.89	1.00	1.00
ENSMUSG00000101921	Gm28825	-0.38	-2.52	1.00	1.00
ENSMUSG00000101447	Gm28826	0.16	-2.44	1.00	1.00
ENSMUSG00000081185	Gm4852	-1.74	-2.88	1.00	1.00
ENSMUSG00000100033	Gm8337	-0.49	3.73	0.12	0.52
ENSMUSG00000097883	Gm8357	-0.70	-2.58	1.00	1.00
ENSMUSG00000051616	C230029F24Rik	1.32	-2.58	0.83	1.00
ENSMUSG00000099608	4933411E06Rik	2.01	-2.81	1.00	1.00
ENSMUSG00000026109	Tmeff2	-0.54	5.66	0.01	0.12
ENSMUSG00000100671	Gm28322	0.01	3.49	1.00	1.00
ENSMUSG00000099924	Gm28320	-0.84	4.45	0.00	0.01
ENSMUSG00000099625	Gm29325	-0.11	3.32	0.95	1.00
ENSMUSG00000045954	Sdpr	0.34	4.59	0.24	0.81
ENSMUSG00000099741	Gm5253	0.44	-2.52	1.00	1.00
ENSMUSG00000101702	1700072G22Rik	1.39	-2.89	1.00	1.00
ENSMUSG00000026107	Nabp1	-0.31	2.59	0.75	1.00
ENSMUSG00000099413	Gm17767	1.14	-2.34	0.85	1.00
ENSMUSG00000101741	Gm28055	0.58	-2.17	1.00	1.00
ENSMUSG00000018417	Myo1b	-0.04	4.67	1.00	1.00
ENSMUSG00000101724	Gm29453	0.45	-1.87	1.00	1.00
ENSMUSG00000100313	Gm28323	-1.69	-2.89	1.00	1.00
ENSMUSG00000100696	Gm8419	1.51	-2.89	1.00	1.00
ENSMUSG00000062939	Stat4	0.42	0.08	0.72	1.00
ENSMUSG00000078291	Gm3940	-0.58	-0.72	0.63	1.00
ENSMUSG00000109599	Gm45679	-1.03	-1.28	0.61	1.00
ENSMUSG00000026104	Stat1	3.98	7.42	0.00	0.00
ENSMUSG00000026103	Gls	-0.85	7.76	0.00	0.00
ENSMUSG00000002881	Nab1	0.34	5.66	0.16	0.64
ENSMUSG00000101501	Rps27a-ps1	0.63	1.22	0.26	0.85
ENSMUSG00000100120	Gm553	0.97	-1.31	0.60	1.00
ENSMUSG00000100007	Gm5527	-0.04	4.88	1.00	1.00
ENSMUSG00000043015	Nemp2	-0.37	2.19	0.53	1.00
ENSMUSG00000041439	Mfsd6	-0.20	6.42	0.45	1.00
ENSMUSG00000100302	Gm29670	-0.18	-1.73	1.00	1.00
ENSMUSG00000026102	Inpp1	0.60	5.74	0.01	0.09
ENSMUSG00000041426	Hibch	-0.16	3.05	0.80	1.00
ENSMUSG00000089802	Gm16107	2.99	0.04	0.00	0.00
ENSMUSG00000043629	1700019D03Rik	-0.24	3.35	0.58	1.00
ENSMUSG00000026100	Mstn	-0.99	-1.00	0.38	1.00
ENSMUSG00000060715	1700019A02Rik	0.42	-1.73	0.98	1.00
ENSMUSG00000026098	Pms1	-0.40	2.05	0.40	1.00
ENSMUSG00000026097	Ormdl1	-0.07	3.28	0.97	1.00
ENSMUSG00000026096	Osgepl1	-0.02	3.58	1.00	1.00
ENSMUSG00000099913	Gm28551	-1.74	-2.02	0.24	0.81
ENSMUSG00000101838	Gm18800	-1.00	-2.72	1.00	1.00
ENSMUSG00000026095	Asnsd1	0.32	3.44	0.30	0.92
ENSMUSG00000096141	Dnah7a	-1.51	-1.53	0.31	0.93
ENSMUSG00000026094	Stk17b	1.26	4.59	0.00	0.00
ENSMUSG00000042807	Hecw2	-0.23	4.84	0.47	1.00
ENSMUSG00000025983	Ccdc150	-0.33	-0.83	0.92	1.00
ENSMUSG00000041303	Gtf3c3	0.01	4.45	1.00	1.00
