SampleID	Cell type
GSM1209590_HH1790_U133plus2_091104	Monocyte
GSM1209591_HH1719_u133plus2_011004	Erythroblast
GSM1209592_HH1720_u133plus2_011004	Erythroblast
GSM1209593_HH1721_u133plus2_011004	Erythroblast
GSM1209594_HH1722_u133plus2_011004	Erythroblast
GSM1209595_HH1723_u133plus2_011004	Erythroblast
GSM1209596_HH1716_u133plus2_011004	Erythroblast
GSM1209597_HH1717_u133plus2_011004	Erythroblast
GSM1209598_HH1718_u133plus2_011004	Erythroblast
GSM1209599_HH1715_u133plus2_011004	BM & Prog.
GSM132919	DC
GSM132921	DC
GSM132922	DC
GSM132923	DC
GSM132924	DC
GSM132925	DC
GSM132926	DC
GSM132927	DC
GSM132928	DC
GSM132929	DC
GSM132930	DC
GSM140244	Monocyte
GSM140245	Monocyte
GSM140246	Monocyte
GSM140247	Monocyte
GSM140248	Monocyte
GSM140249	Monocyte
GSM140953	DC
GSM140968	DC
GSM140969	DC
GSM140970	DC
GSM140971	DC
GSM140973	DC
GSM141251	Endothelial_cells
GSM141252	Endothelial_cells
GSM141253	Endothelial_cells
GSM141255	Endothelial_cells
GSM143717	Endothelial_cells
GSM143726	Endothelial_cells
GSM143727	Endothelial_cells
GSM143728	Endothelial_cells
GSM143729	Endothelial_cells
GSM143730	Endothelial_cells
GSM143731	Endothelial_cells
GSM143732	Endothelial_cells
GSM143733	Endothelial_cells
GSM143898	Endothelial_cells
GSM143900	Endothelial_cells
GSM143907	Endothelial_cells
GSM143910	Endothelial_cells
GSM143914	Endothelial_cells
GSM153893	T_cells
GSM154073	T_cells
GSM154077	T_cells
GSM154078	T_cells
GSM154081	T_cells
GSM154084	T_cells
GSM158468	Gametocytes
GSM158470	Gametocytes
GSM160530	DC
GSM160532	DC
GSM160534	DC
GSM160536	DC
GSM172865	Neurons
GSM172866	Neurons
GSM172867	Neurons
GSM172868	Neurons
GSM172869	Neurons
GSM172870	Neurons
GSM173532	Keratinocytes
GSM173533	Keratinocytes
GSM173534	Keratinocytes
GSM173535	Keratinocytes
GSM173536	Keratinocytes
GSM173537	Keratinocytes
GSM173538	Keratinocytes
GSM173539	Keratinocytes
GSM173540	Keratinocytes
GSM173541	Keratinocytes
GSM173542	Keratinocytes
GSM173543	Keratinocytes
GSM173544	Keratinocytes
GSM173545	Keratinocytes
GSM173546	Keratinocytes
GSM173547	Keratinocytes
GSM173548	Keratinocytes
GSM173549	Keratinocytes
GSM173550	Keratinocytes
GSM173551	Keratinocytes
GSM173552	Keratinocytes
GSM173553	Keratinocytes
GSM173554	Keratinocytes
GSM173555	Keratinocytes
GSM173556	Keratinocytes
GSM178549	HSC_-G-CSF
GSM178550	HSC_-G-CSF
GSM178551	HSC_-G-CSF
GSM178552	HSC_-G-CSF
GSM178553	HSC_-G-CSF
GSM178554	HSC_-G-CSF
GSM178555	HSC_-G-CSF
GSM178556	HSC_-G-CSF
GSM178557	HSC_-G-CSF
GSM178558	HSC_-G-CSF
GSM181857	DC
GSM181930	DC
GSM181931	DC
GSM181932	DC
GSM181933	DC
GSM181934	DC
GSM181971	DC
GSM181972	DC
GSM181973	DC
GSM181974	DC
GSM181976	DC
GSM181978	DC
GSM181980	DC
GSM181981	DC
GSM181982	DC
GSM181983	DC
GSM181984	DC
GSM181997	DC
GSM181998	DC
GSM181999	DC
GSM182000	Monocyte
GSM182001	Monocyte
GSM182002	Monocyte
GSM182003	Monocyte
GSM182004	Monocyte
GSM183165	Macrophage
GSM183193	Macrophage
GSM183196	Macrophage
GSM183201	Macrophage
GSM183209	Macrophage
GSM183217	Macrophage
GSM183305	Macrophage
GSM183306	Macrophage
GSM183315	Macrophage
GSM183316	Macrophage
GSM183392	Macrophage
GSM183393	Macrophage
GSM183394	Macrophage
GSM183462	Macrophage
GSM183463	Macrophage
GSM183464	Macrophage
GSM183465	Macrophage
GSM183466	Macrophage
GSM183467	Macrophage
GSM183482	Macrophage
GSM183483	Macrophage
GSM183484	Macrophage
GSM183485	Macrophage
GSM183486	Macrophage
GSM183487	Macrophage
GSM189447	Monocyte
GSM189448	Monocyte
GSM189449	Monocyte
GSM189450	Monocyte
GSM189451	Monocyte
GSM189452	Monocyte
GSM189453	Monocyte
GSM189454	Monocyte
GSM198942	NK_cell
GSM198943	NK_cell
GSM198944	NK_cell
GSM198945	NK_cell
GSM225042	Embryonic_stem_cells
GSM230294	Embryonic_stem_cells
GSM239260	Tissue_stem_cells
GSM239379	Tissue_stem_cells
GSM239457	Tissue_stem_cells
GSM239606	Chondrocytes
GSM239612	Chondrocytes
GSM239613	Chondrocytes
GSM239616	Osteoblasts
GSM239668	Osteoblasts
GSM239669	Osteoblasts
GSM250019	Tissue_stem_cells
GSM250020	Tissue_stem_cells
GSM250021	Tissue_stem_cells
GSM260305	Osteoblasts
GSM260306	Osteoblasts
GSM260307	Osteoblasts
GSM260308	Osteoblasts
GSM260309	Osteoblasts
GSM260310	Osteoblasts
GSM260311	Osteoblasts
GSM260312	Osteoblasts
GSM260313	Osteoblasts
GSM260314	Osteoblasts
GSM260321	Osteoblasts
GSM260322	Osteoblasts
GSM260657	Tissue_stem_cells
GSM260658	Tissue_stem_cells
GSM260659	Tissue_stem_cells
GSM260661	Tissue_stem_cells
GSM260662	Tissue_stem_cells
GSM260663	Tissue_stem_cells
GSM260664	Tissue_stem_cells
GSM260665	Tissue_stem_cells
GSM260666	Tissue_stem_cells
GSM260667	Tissue_stem_cells
GSM260668	Tissue_stem_cells
GSM260669	Tissue_stem_cells
GSM260670	Tissue_stem_cells
GSM260671	Tissue_stem_cells
GSM260672	Tissue_stem_cells
GSM260673	Tissue_stem_cells
GSM260674	Tissue_stem_cells
GSM260675	Tissue_stem_cells
GSM260676	Tissue_stem_cells
GSM260678	Tissue_stem_cells
GSM260679	Tissue_stem_cells
GSM260680	Tissue_stem_cells
GSM260681	Tissue_stem_cells
GSM260682	Tissue_stem_cells
GSM260683	Tissue_stem_cells
GSM260684	Tissue_stem_cells
GSM260685	Tissue_stem_cells
GSM260686	Tissue_stem_cells
GSM260689	DC
GSM260690	DC
GSM260691	DC
GSM260692	DC
GSM260693	DC
GSM260694	DC
GSM260695	DC
GSM260696	DC
GSM260697	DC
GSM260698	DC
GSM260699	DC
GSM260700	DC
GSM260701	DC
GSM264755	DC
GSM264756	DC
GSM264757	DC
GSM264758	DC
GSM265494	Tissue_stem_cells
GSM265495	Tissue_stem_cells
GSM265496	Tissue_stem_cells
GSM265497	Tissue_stem_cells
GSM265498	Tissue_stem_cells
GSM265499	Tissue_stem_cells
GSM279572	T_cells
GSM279573	T_cells
GSM279574	T_cells
GSM279575	T_cells
GSM279576	T_cells
GSM279577	T_cells
GSM279578	T_cells
GSM279579	T_cells
GSM279580	T_cells
GSM279581	T_cells
GSM279582	T_cells
GSM279583	T_cells
GSM279584	T_cells
GSM286015	DC
GSM286017	DC
GSM286086	DC
GSM286087	DC
GSM286088	DC
GSM286089	DC
GSM286090	DC
GSM286091	DC
GSM287216	Smooth_muscle_cells
GSM287217	Smooth_muscle_cells
GSM287218	Smooth_muscle_cells
GSM287219	Smooth_muscle_cells
GSM287220	Smooth_muscle_cells
GSM287222	Smooth_muscle_cells
GSM289612	BM
GSM289613	BM
GSM289614	BM
GSM289615	BM
GSM289616	BM
GSM289617	BM
GSM289618	BM
GSM290414	Platelets
GSM290415	Platelets
GSM290420	Platelets
GSM290421	Platelets
GSM290423	Platelets
GSM299095	Epithelial_cells
GSM299096	Epithelial_cells
GSM299097	Epithelial_cells
GSM299098	Epithelial_cells
GSM299099	Epithelial_cells
GSM299100	Epithelial_cells
GSM299556	Macrophage
GSM299557	Macrophage
GSM299558	Macrophage
GSM299559	Macrophage
GSM299560	Macrophage
GSM299561	Macrophage
GSM299562	Macrophage
GSM299563	Macrophage
GSM299564	Macrophage
GSM299565	Macrophage
GSM300389	Macrophage
GSM300390	Macrophage
GSM300392	Macrophage
GSM300393	Macrophage
GSM300394	Macrophage
GSM300395	Macrophage
GSM300398	Macrophage
GSM300399	Macrophage
GSM300401	Macrophage
GSM300402	Macrophage
GSM300403	Macrophage
GSM300404	Macrophage
GSM304260	Gametocytes
GSM304261	Gametocytes
GSM304262	Gametocytes
GSM305430	Monocyte
GSM305432	Monocyte
GSM305433	Monocyte
GSM305434	Monocyte
GSM305435	Monocyte
GSM305436	Monocyte
GSM305437	Monocyte
GSM305438	Monocyte
GSM305439	Monocyte
GSM305440	Monocyte
GSM305441	Monocyte
GSM305442	Monocyte
GSM305784	Endothelial_cells
GSM305785	Endothelial_cells
GSM305786	Endothelial_cells
GSM305787	Endothelial_cells
GSM310429	B_cell
GSM310430	B_cell
GSM310431	B_cell
GSM310432	B_cell
GSM310433	B_cell
GSM310434	B_cell
GSM310435	B_cell
GSM310436	B_cell
GSM310437	B_cell
GSM310438	B_cell
GSM310439	B_cell
GSM310440	B_cell
GSM320543	DC
GSM320544	DC
GSM320545	DC
GSM320546	DC
GSM320547	DC
GSM320548	DC
GSM320549	DC
GSM320550	DC
GSM320551	DC
GSM320552	DC
GSM322374	Tissue_stem_cells
GSM322375	Tissue_stem_cells
GSM322376	Tissue_stem_cells
GSM322377	Tissue_stem_cells
GSM330313	Endothelial_cells
GSM330314	Endothelial_cells
GSM330315	Endothelial_cells
GSM330316	Endothelial_cells
GSM335393	Endothelial_cells
GSM335395	Endothelial_cells
GSM335396	Endothelial_cells
GSM335851	Endothelial_cells
GSM335859	Endothelial_cells
GSM335904	Endothelial_cells
GSM335906	Endothelial_cells
GSM336559	Endothelial_cells
GSM343802	Macrophage
GSM343803	Macrophage
GSM343804	Macrophage
GSM343805	Macrophage
GSM343806	Macrophage
GSM343807	Macrophage
GSM343808	Macrophage
GSM343809	Macrophage
GSM343810	Macrophage
GSM343811	Macrophage
GSM343812	Macrophage
GSM343813	Macrophage
GSM343814	Macrophage
GSM343815	Macrophage
GSM343816	Macrophage
GSM343817	Macrophage
GSM343818	Macrophage
GSM343819	Macrophage
GSM343820	Macrophage
GSM343821	Macrophage
GSM343822	Macrophage
GSM343823	Macrophage
GSM343824	Macrophage
GSM343825	Macrophage
GSM343826	Macrophage
GSM343827	Macrophage
GSM343828	Macrophage
GSM343829	Macrophage
GSM343830	Macrophage
GSM343831	Macrophage
GSM346941	Fibroblasts
GSM346942	Fibroblasts
GSM346943	Fibroblasts
GSM346944	Fibroblasts
GSM346951	Endothelial_cells
GSM346952	Endothelial_cells
GSM346959	Smooth_muscle_cells
GSM346960	Smooth_muscle_cells
GSM347916	iPS_cells
GSM347917	iPS_cells
GSM347918	iPS_cells
GSM347919	iPS_cells
GSM347920	iPS_cells
GSM347922	Embryonic_stem_cells
GSM347923	Embryonic_stem_cells
GSM347924	Embryonic_stem_cells
GSM347925	Embryonic_stem_cells
GSM349848	T_cells
GSM349849	T_cells
GSM350084	Monocyte
GSM350085	Monocyte
GSM350086	Monocyte
GSM359332	Macrophage
GSM359753	Macrophage
GSM359754	Macrophage
GSM359755	Macrophage
GSM359758	Macrophage
GSM359759	Macrophage
GSM359760	Macrophage
GSM361266	Neutrophils
GSM361272	Neutrophils
GSM361278	Neutrophils
GSM361283	Neutrophils
GSM361285	Neutrophils
GSM366942	iPS_cells
GSM367061	Embryonic_stem_cells
GSM367062	Embryonic_stem_cells
GSM367219	iPS_cells
GSM367240	iPS_cells
GSM367241	iPS_cells
GSM367242	iPS_cells
GSM367243	iPS_cells
GSM367244	iPS_cells
GSM367245	iPS_cells
GSM367258	iPS_cells
GSM372142	iPS_cells
GSM372144	iPS_cells
GSM372146	iPS_cells
GSM372154	iPS_cells
GSM372155	iPS_cells
GSM372156	iPS_cells
GSM372157	iPS_cells
GSM372158	iPS_cells
GSM372159	iPS_cells
GSM372800	T_cells
GSM372801	T_cells
GSM372802	T_cells
GSM372803	T_cells
GSM372804	T_cells
GSM372805	T_cells
GSM372806	T_cells
GSM372807	T_cells
GSM372808	T_cells
GSM372809	T_cells
GSM372810	T_cells
GSM372811	T_cells
GSM372812	T_cells
GSM372813	T_cells
GSM372814	T_cells
GSM372815	T_cells
GSM372816	T_cells
GSM372817	T_cells
GSM372818	T_cells
GSM378811	Embryonic_stem_cells
GSM381339	B_cell
GSM381340	B_cell
GSM381341	B_cell
GSM381342	B_cell
GSM381343	B_cell
GSM381344	B_cell
GSM381345	B_cell
GSM381346	B_cell
GSM385333	Endothelial_cells
GSM385338	Endothelial_cells
GSM385350	Endothelial_cells
GSM385353	Endothelial_cells
GSM402707	iPS_cells
GSM402717	iPS_cells
GSM402752	iPS_cells
GSM402806	iPS_cells
GSM410666	Endothelial_cells
GSM410667	Endothelial_cells
GSM410668	Endothelial_cells
GSM410669	Endothelial_cells
GSM410672	Endothelial_cells
GSM410673	Endothelial_cells
GSM410674	Endothelial_cells
GSM410675	Endothelial_cells
GSM410678	Endothelial_cells
GSM410679	Endothelial_cells
GSM410680	Endothelial_cells
GSM410681	Endothelial_cells
GSM410684	Endothelial_cells
GSM410685	Endothelial_cells
GSM410686	Endothelial_cells
GSM410687	Endothelial_cells
GSM413840	Chondrocytes
GSM413842	Chondrocytes
GSM413846	Chondrocytes
GSM413847	Chondrocytes
GSM413848	Chondrocytes
GSM419987	Macrophage
GSM419988	Macrophage
GSM419989	Macrophage
GSM419990	Macrophage
GSM419991	Macrophage
GSM419992	Macrophage
GSM422109	Monocyte
GSM422110	Monocyte
GSM422111	Monocyte
GSM422112	Monocyte
GSM422113	Monocyte
GSM422114	Monocyte
GSM422116	Monocyte
GSM432175	Monocyte
GSM432176	Monocyte
GSM432177	Monocyte
GSM432178	Monocyte
GSM432179	Monocyte
GSM432180	Monocyte
GSM451153	Tissue_stem_cells
GSM451154	Tissue_stem_cells
GSM451155	Tissue_stem_cells
GSM451156	Tissue_stem_cells
GSM451157	Tissue_stem_cells
GSM451158	Tissue_stem_cells
GSM451160	Tissue_stem_cells
GSM451161	Tissue_stem_cells
GSM456349	Hepatocytes
GSM456350	Hepatocytes
GSM456351	Hepatocytes
GSM466515	Neutrophils
GSM466516	Neutrophils
GSM466517	Neutrophils
GSM466518	Neutrophils
GSM466519	Neutrophils
GSM469125	MSC
GSM469126	MSC
GSM469127	MSC
GSM469128	MSC
GSM469129	MSC
GSM469130	MSC
GSM469131	MSC
GSM469132	MSC
GSM469136	MSC
GSM469409	Neuroepithelial_cell
GSM469411	Astrocyte
GSM469412	Astrocyte
GSM476782	Endothelial_cells
GSM476783	Endothelial_cells
GSM476784	Endothelial_cells
GSM476785	Endothelial_cells
GSM476786	Endothelial_cells
GSM483480	HSC_CD34+
GSM483481	HSC_CD34+
GSM483482	HSC_CD34+
GSM483483	HSC_CD34+
GSM483484	HSC_CD34+
GSM483485	HSC_CD34+
GSM488968	CMP
GSM488969	CMP
GSM488970	GMP
GSM488971	GMP
GSM488972	B_cell
GSM488973	B_cell
GSM488974	MEP
GSM488975	MEP
GSM488976	Myelocyte
GSM488977	Myelocyte
GSM488978	Pre-B_cell_CD34-
GSM488979	Pre-B_cell_CD34-
GSM488980	Pro-B_cell_CD34+
GSM488981	Pro-B_cell_CD34+
GSM488982	Pro-Myelocyte
GSM488983	Pro-Myelocyte
GSM492832	Endothelial_cells
GSM492833	Endothelial_cells
GSM492834	Smooth_muscle_cells
GSM492835	Smooth_muscle_cells
GSM500995	iPS_cells
GSM500996	iPS_cells
GSM500997	iPS_cells
GSM500998	iPS_cells
GSM500999	iPS_cells
GSM501000	iPS_cells
GSM501001	iPS_cells
GSM501002	iPS_cells
GSM501003	iPS_cells
GSM501004	iPS_cells
GSM501005	iPS_cells
GSM501006	iPS_cells
GSM501007	iPS_cells
GSM501008	iPS_cells
GSM501009	iPS_cells
GSM501890	Fibroblasts
GSM501891	Fibroblasts
GSM501892	Fibroblasts
GSM501893	Fibroblasts
GSM501894	Fibroblasts
GSM501895	Fibroblasts
GSM514669	Monocyte
GSM514670	Monocyte
GSM514671	Monocyte
GSM514672	Monocyte
GSM530601	Embryonic_stem_cells
GSM530602	Embryonic_stem_cells
GSM530603	Embryonic_stem_cells
GSM530604	Embryonic_stem_cells
GSM530605	Embryonic_stem_cells
GSM530606	Embryonic_stem_cells
GSM530607	Embryonic_stem_cells
GSM530611	Embryonic_stem_cells
GSM53382	Neurons
GSM53383	Neurons
GSM53384	Neurons
GSM53385	Neurons
GSM53386	Neurons
GSM53387	Neurons
GSM540714	Tissue_stem_cells
GSM540715	Tissue_stem_cells
GSM540716	Tissue_stem_cells
GSM542578	NK_cell
GSM547998	T_cells
GSM547999	T_cells
GSM548000	T_cells
GSM548001	T_cells
GSM549577	Neutrophils
GSM549578	Neutrophils
GSM549579	Neutrophils
GSM549580	Neutrophils
GSM549581	Neutrophils
GSM549582	Neutrophils
GSM549583	Neutrophils
GSM549584	Neutrophils
GSM551183	Endothelial_cells
GSM556647	Monocyte
GSM556663	Monocyte
GSM556665	Monocyte
GSM92231	Neurons
GSM92232	Neurons
GSM92233	Neurons
GSM92234	Neurons
