	Sample24_M30_Fec3	Sample13_M14_Fec3	Sample22_M26_Fec1	Sample15_M16_Fec2	Sample16_M18_Fec3	Sample12_M13_Fec1	Sample11_M12_Fec3	Sample17_M19_Fec2	Sample19_M23_Fec2	Sample18_M20_Fec3	Sample23_M29_Fec3	Sample14_M15_Fec1	Sample20_M24_Fec3
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoclostridium	8742.92085651161	7003.57269828407	16689.668237049	8745.69103574575	18728.9351272544	13891.735435059	6067.53864083231	9991.57109562614	14687.3216681828	11920.283726886	24127.5705953125	15142.851864764	18975.8164836775
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-006	5428.86383568051	3303.177571131	7785.58767956952	3228.54949450427	4550.60471967427	5090.88820839698	1692.75534544959	2184.65220097292	10283.1180200574	7678.1215632116	8055.3097377037	3656.89068084311	12660.1571980766
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014;Other;Other	5145.17023856657	33763.492261877	5088.04603284544	15693.202606198	11940.6363512114	29185.0109436847	96618.9577045579	38568.7495186469	41730.3277790703	20212.6550151546	26620.8807522208	14544.4515715351	8464.13698778017
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis	7002.07378331239	7484.41500294238	8509.31836527599	5782.78168952348	8537.0848873228	4967.22290778815	5495.95891379738	9413.28080713331	12435.3985358834	15548.1961655035	11545.9439573753	8676.80425181866	16567.7911396242
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Other	5519.12998021677	6815.41701385256	7478.55041896678	8316.58002698253	8555.88903905699	11109.2661713602	6221.42549041863	6377.25679254595	2849.77883113995	5662.61465286856	5140.05478501093	9474.67130945716	6257.98203185109
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter	657.653338764148	6062.79427612651	0	5578.44311392194	7578.07314887905	5441.27322678868	3011.78548476096	1301.15314910887	59.7855698840549	11190.8621783809	0	2742.66801063233	72.0965671872246
Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Anaerotruncus	4242.50879320401	1693.40115988361	2039.60465971821	1266.89916872952	4080.50092631949	1483.983607306	3341.54301958881	2024.01600972491	1135.92582779704	1881.13978298684	1419.26885854779	6067.11408412607	2826.1854337392
Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;NK4A214 group	1521.62929361116	2362.39914897343	723.730685706463	1798.17946529352	2162.47744943199	2700.02572995953	2747.97945689869	2586.24267909294	1992.8523294685	1823.55387126276	10586.9785124106	3008.62369651183	158.612447811894
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia	2965.88760619125	1630.68259840644	4188.86548393741	1123.86216580845	2764.2103049261	2493.91689561148	2000.52904462225	4915.46745218907	4762.9170674297	3244.0063604569	3260.48251288007	1296.53396866256	12458.2868099524
Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Other	838.185627836659	2320.58677465532	263.17479480235	1777.74560773337	1541.94044220368	1999.25569317614	2198.38356551895	1028.07162398726	9147.19219226039	940.569891493422	35136.4939035076	249.33345551203	1326.57683624493
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Acetatifactor	3662.22643547094	3930.3631859027	2851.06027702546	4515.88252079395	3234.31409828088	4472.56170535281	3275.59151262324	5782.90288492832	5300.9871963862	5259.51327079995	4296.16519344197	4222.04651333705	2408.0253440533
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;GCA-900066575	5067.79925753549	4557.54880067441	5066.11479994524	4536.3163783541	3478.76807082537	2432.08424530706	2901.86630648502	4867.27659481467	8927.97843601886	5336.29448643207	9052.63380046701	4521.24665995149	7296.17259934713
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tuzzerella	477.121049691636	1463.43310113399	614.074521205484	1961.65032577475	752.166069367647	2061.08834348056	1319.03013931137	883.499051864048	518.141605661809	1094.13232275765	1074.04129836049	598.400293228873	720.965671872246
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;A2	2579.03270103587	648.091801930765	3004.57890732683	1328.20074140999	3159.09749134412	2205.3645275242	1758.70685241516	3276.97830145938	4404.20364812537	5489.8569176963	2454.9515391097	3224.71269128893	9819.55245089999
Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Romboutsia	490.016213196816	2132.43109022381	0	1450.80388677091	1673.56950434302	2864.91279743798	637.531234000496	546.16305024323	956.569118144878	7102.26244597074	958.965444964726	1379.6451204999	0
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Marvinbryantia	1573.20994763188	1714.30734704267	2565.95424932291	796.920444845991	921.403434975368	680.159153348585	2835.91479951945	3678.5687795794	4842.63116060844	2130.67873379122	5830.50990538553	1363.02289013243	764.223612184581
Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Other	3172.21022227412	2236.96202601909	2609.81671512331	1246.46531116937	1109.44495231728	1669.48155821925	1143.15945406985	1670.61638897929	1135.92582779704	1458.8430970102	4948.26169601798	2676.17908916246	1052.60988093348
Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;Other	825.290464331479	1045.30935795285	0	796.920444845991	1598.35289740625	2700.02572995953	1560.85233151846	1558.17105510568	538.070128956494	3378.37348781311	843.889591568959	814.489288005966	28.8386268748898
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1	103.161308041435	2069.71252874664	0	1328.20074140999	1259.87816619081	3235.90869926448	791.418083586823	80.3180956240044	637.712745429918	2802.51437057224	153.434471194356	914.222670210778	331.644209061233
Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae UCG-004	606.07268474343	857.153673521334	350.899726403134	163.470860481229	564.124552025736	515.27208587014	483.644384414169	273.081525121615	4344.41807824132	326.320166436493	1074.04129836049	249.33345551203	951.674686871365
Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;UCG-009	696.338829279686	1358.9021653387	570.212055405092	796.920444845991	507.712096823162	247.330601217667	2220.36740117414	1269.02591085927	438.427512483069	1247.69475402189	690.455120374603	465.422450289124	1989.8652543674
