Gene	A.1	A.2	A.3	B.1	B.2	B.3
Sgpp2	208	231	307	253	74	380
Farsb	154	234	173	308	365	265
Mogat1	2	0	1	3	0	0
Acsl3	103	133	163	110	91	166
Utp14b	10	11	9	16	7	5
Kcne4	42	96	71	99	208	133
Scg2	1	2	1	0	0	1
Ap1s3	30	52	35	49	40	75
Wdfy1	270	392	352	381	328	438
Mrpl44	44	84	62	67	92	91
Serpine2	542	795	776	715	410	755
Fam124b	1	5	0	1	0	4
Cul3	264	367	273	393	428	490
1700016L21Rik	0	0	0	0	0	0
Dock10	181	223	224	242	347	297
Nyap2	2	2	2	2	0	0
Irs1	81	119	95	92	22	121
Rhbdd1	88	137	130	119	152	174
Col4a4	310	706	348	526	256	712
Col4a3	66	178	69	104	74	152
Mff	326	528	393	586	554	698
Tm4sf20	0	0	0	0	0	0
Agfg1	184	301	246	318	485	400
Slc19a3	3	18	1	6	6	15
Ccl20	46	4	20	26	42	14
Wdr69	30	38	116	41	4	26
Sphkap	0	3	1	1	0	0
Pid1	217	337	329	288	381	377
Dner	6	15	18	6	1	13
Mir5126	0	0	0	0	0	0
Trip12	561	803	790	900	1190	1048
Fbxo36	23	35	35	27	13	21
Slc16a14	0	0	0	0	0	0
A530032D15Rik	7	4	1	9	16	5
Gm7609	0	0	0	1	0	0
C130026I21Rik	12	11	11	12	12	4
Sp110	62	112	93	126	342	141
Sp140	32	33	37	54	117	46
Sp100	11	22	8	26	56	21
A630001G21Rik	16	17	14	21	21	30
Cab39	289	513	440	500	521	613
Itm2c	700	1127	909	1026	604	1314
4933407L21Rik	2	0	0	0	0	0
Gpr55	0	0	0	1	2	2
Spata3	0	0	0	0	0	0
2810459M11Rik	1	2	7	1	1	0
Psmd1	347	630	449	760	963	880
Htr2b	1	9	7	5	9	3
Armc9	8	19	29	15	12	10
B3gnt7	7	11	9	13	14	38
Ncl	968	1260	1354	1733	2978	1866
Snora75	0	0	1	0	1	1
Snord82	0	0	2	0	0	0
C130036L24Rik	6	7	10	9	5	5
Nmur1	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0
Ptma	2843	3738	4285	3739	3389	4029
Pde6d	62	91	45	110	95	132
Cops7b	54	100	109	92	78	140
Nppc	0	2	0	0	1	1
Dis3l2	16	18	19	30	25	28
Alppl2	0	0	3	0	0	0
Alpi	0	0	0	0	0	0
Akp3	0	0	0	0	0	0
Ecel1	7	0	2	4	0	1
Prss56	0	0	0	0	2	0
Chrnd	0	0	0	0	0	0
Chrng	0	1	0	0	0	0
Eif4e2	205	211	182	298	391	355
Efhd1	0	2	3	6	5	1
Gigyf2	95	154	181	128	195	189
Kcnj13	40	99	96	61	4	84
3110079O15Rik	1	0	0	0	0	0
Ngef	69	77	131	80	26	107
Neu2	5	12	9	13	3	8
Inpp5d	171	242	230	307	598	358
Atg16l1	131	236	204	219	226	254
Scarna6	0	0	1	0	0	0
Sag	1	3	5	0	4	8
Dgkd	200	280	298	382	333	387
Usp40	95	146	155	156	131	194
Ugt1a10	0	0	0	0	0	0
Ugt1a9	0	0	0	0	0	0
Ugt1a7c	0	0	0	0	0	0
Ugt1a6b	0	0	0	0	0	1
Ugt1a6a	0	0	0	0	1	0
Ugt1a5	0	0	0	0	0	0
Ugt1a2	0	0	0	0	0	0
Dnajb3	4	10	10	9	2	11
Ugt1a1	0	0	0	0	0	0
Mroh2a	4	2	9	2	5	3
Hjurp	56	91	93	85	74	108
6430706D22Rik	0	0	0	0	0	0
A730008H23Rik	0	0	0	0	0	0
Trpm8	0	0	0	0	0	0
Spp2	0	0	0	0	0	0
Glrp1	3	0	0	0	9	2
Gm19589	0	0	0	0	0	0
Arl4c	186	337	174	298	259	342
2410088K16Rik	0	0	0	0	0	0
1700067G17Rik	0	0	0	0	0	0
Sh3bp4	104	145	90	128	97	156
C030007H22Rik	0	0	0	0	0	0
Agap1	486	733	635	470	376	818
4933400F21Rik	0	0	0	0	0	0
Gbx2	2	1	1	0	0	1
Asb18	0	0	0	0	0	0
Iqca	73	78	145	60	21	71
Cxcr7	169	236	210	175	927	241
Cops8	187	343	261	351	349	350
Col6a3	833	1643	1163	909	892	1368
Mlph	92	102	132	150	239	145
Prlh	0	0	0	0	0	0
Rab17	8	4	12	2	4	5
Lrrfip1	446	750	686	809	1219	1018
Rbm44	0	3	0	2	0	1
Ramp1	105	141	123	116	60	146
Ube2f	106	162	146	228	281	215
Scly	58	90	60	95	142	133
Espnl	0	0	0	2	2	0
Klhl30	1	3	1	3	5	6
Fam132b	1	1	0	3	45	0
Ilkap	211	295	437	255	300	301
1700020N18Rik	0	1	0	0	0	0
Hes6	135	122	166	195	134	225
Per2	396	190	627	403	269	471
Traf3ip1	90	152	195	124	37	118
Asb1	129	125	183	148	133	197
Twist2	2	13	11	9	7	18
Hdac4	104	100	199	104	200	158
Ndufa10	175	250	234	322	368	371
Olfr1416	0	0	0	0	0	0
Olfr1415	0	0	0	0	0	0
Olfr1414	0	0	0	0	0	0
Olfr1413	0	0	0	0	0	0
Olfr1412	0	0	0	0	0	0
Olfr1411	0	0	0	0	0	0
Olfr1410	0	0	0	0	0	0
Olfr12	0	0	0	0	0	0
Myeov2	352	572	474	764	764	767
Otos	0	0	0	0	0	0
Gpc1	78	116	122	103	142	151
Mir149	0	0	0	0	0	0
Ankmy1	0	0	0	0	0	0
Dusp28	50	66	58	63	84	74
Rnpepl1	284	462	383	455	444	657
9430060I03Rik	6	7	7	9	9	5
Capn10	57	62	60	57	49	74
Gpr35	5	15	21	27	126	39
Aqp12	0	0	0	0	0	0
Kif1a	9	19	27	15	7	16
Agxt	0	0	0	0	0	0
2310007B03Rik	82	130	143	145	304	179
Sned1	0	1	0	1	1	1
Mterfd2	48	60	76	68	82	72
Pask	2	12	3	17	8	5
Ppp1r7	132	222	221	230	264	285
Ano7	1	0	2	1	0	0
Hdlbp	543	880	615	1227	1543	1403
Sept2	539	999	530	1058	972	1138
Farp2	27	25	22	37	16	34
Stk25	129	211	232	183	148	230
Bok	36	55	59	53	42	56
Thap4	61	122	88	115	194	133
Atg4b	161	221	204	222	239	300
Dtymk	86	144	126	147	157	174
Ing5	36	78	87	65	87	97
D2hgdh	14	21	14	20	14	27
Gal3st2	3	2	1	5	9	1
Gm9994	0	0	0	0	0	0
Gm6086	0	0	0	0	0	0
Neu4	2	1	1	0	1	0
Pdcd1	5	7	3	22	6	5
4930440C22Rik	1	0	1	0	0	0
Fam174a	255	393	287	369	278	474
St8sia4	279	358	205	315	218	437
4930598F16Rik	0	0	0	0	0	0
1700063A18Rik	0	0	0	0	0	0
4930533P14Rik	0	0	0	0	0	0
Slco4c1	2	7	4	9	5	17
Slco6b1	4	0	0	0	0	0
Slco6c1	0	0	2	0	0	0
D1Ertd622e	88	151	150	157	233	231
Ppip5k2	118	182	135	150	254	195
Gin1	24	48	42	34	32	43
Pam	986	1633	1319	1276	603	1362
B230216N24Rik	3	4	6	2	4	4
1810006J02Rik	0	0	1	1	3	0
Slco6d1	0	0	0	0	0	0
Cntnap5b	0	0	0	0	0	0
Gm20268	0	0	0	0	0	0
Cdh20	0	0	0	0	0	0
Rnf152	39	57	33	35	61	47
Pign	39	67	70	92	115	130
2310035C23Rik	109	212	199	196	195	200
Tnfrsf11a	31	37	43	79	111	111
Zcchc2	96	135	108	122	259	188
Gm20753	0	0	0	0	1	0
Phlpp1	147	191	136	173	112	260
Bcl2	314	435	479	438	295	454
Kdsr	183	259	265	259	195	302
Vps4b	393	603	617	558	763	654
Serpinb5	0	0	0	1	1	0
Serpinb12	7	1	0	4	3	0
Serpinb13	0	0	0	0	0	0
Serpinb3a	0	0	0	0	0	0
Serpinb3d	0	0	0	0	0	0
Serpinb3b	0	0	0	0	0	0
Serpinb3c	0	0	0	0	0	0
Serpinb11	6	0	1	0	6	1
Serpinb7	0	1	2	1	0	0
Serpinb2	0	0	1	1	14	7
Serpinb10	11	15	1	8	12	6
Serpinb8	30	25	39	55	53	44
Cdh7	0	0	0	0	0	0
Cdh19	0	3	3	0	0	0
Dsel	42	89	61	72	47	133
Cntnap5a	0	0	0	0	0	0
Tsn	993	1423	1392	1598	1874	1942
Mki67ip	99	149	151	191	324	195
Clasp1	114	169	180	119	172	144
2900060B14Rik	232	408	571	358	329	406
Tfcp2l1	108	190	174	154	104	167
Gli2	12	15	19	22	5	21
Inhbb	15	40	25	29	125	30
Ralb	266	299	355	354	495	434
Tmem185b	103	137	173	122	251	146
Epb4.1l5	182	284	218	274	136	335
Ptpn4	10	36	23	26	15	30
Tmem177	24	42	41	28	39	49
Gm101	2	4	4	1	0	0
Sctr	0	0	0	0	0	0
Tmem37	120	193	134	360	581	486
Dbi	746	1053	755	1710	955	1646
3110009E18Rik	14	23	17	11	24	40
Steap3	55	46	43	45	10	75
C1ql2	0	0	0	0	0	1
Marco	94	26	108	893	394	902
En1	0	0	0	0	3	0
B230209K01Rik	0	0	0	0	0	0
Insig2	75	123	128	159	129	213
Ccdc93	94	195	153	147	130	203
Htr5b	0	0	0	0	0	0
Ddx18	97	148	102	173	236	195
Dpp10	5	0	4	1	2	0
Actr3	651	892	684	1217	2205	1420
Slc35f5	73	175	133	140	137	161
Gpr39	16	19	24	19	18	20
Lypd1	0	1	1	2	1	0
Nckap5	425	899	541	651	325	854
Mgat5	4	4	8	4	7	18
Tmem163	79	87	49	126	42	146
Acmsd	0	0	1	0	0	0
2900009J06Rik	4	3	1	3	12	5
Ccnt2	54	93	63	110	67	120
Map3k19	1	6	8	6	3	5
Rab3gap1	195	282	303	260	299	351
Zranb3	15	16	8	19	16	11
R3hdm1	102	142	142	216	165	252
Mir128-1	0	0	0	0	0	0
Ubxn4	293	521	405	615	683	695
Lct	0	0	0	1	0	1
Mcm6	82	135	65	292	259	222
Dars	122	212	179	271	426	375
Cxcr4	160	175	155	280	249	272
Thsd7b	0	0	0	0	0	0
Daf2	0	0	1	1	0	0
Cd55	59	149	156	103	52	109
Zp3r	0	0	0	0	0	0
C4bp	2	0	2	3	1	2
C4bp-ps1	7	10	19	18	6	9
Pfkfb2	161	211	190	253	154	281
Yod1	94	162	196	141	127	176
AA986860	214	421	223	474	330	363
Fcamr	0	1	0	3	0	2
Pigr	399	226	430	992	343	648
Faim3	66	87	41	84	12	79
Il24	0	0	0	3	29	0
Il20	0	0	0	0	0	0
Il19	0	0	0	0	0	0
Il10	0	0	0	0	3	3
Mapkapk2	507	790	506	902	1081	1075
Dyrk3	10	14	24	24	11	9
Eif2d	77	152	96	125	179	169
Rassf5	227	329	258	419	525	395
Ikbke	20	35	46	122	564	96
Srgap2	114	205	158	246	182	224
Fam72a	9	16	17	5	15	9
Avpr1b	0	1	0	0	1	0
Ctse	12	4	10	15	22	16
5430435G22Rik	174	145	282	244	522	302
Slc26a9	18	44	17	41	34	60
Pm20d1	9	19	17	7	5	20
Slc41a1	99	102	150	144	96	175
Rab7l1	137	157	185	147	318	243
Nucks1	777	1015	1225	1098	1419	1393
Slc45a3	34	67	48	43	30	49
Elk4	12	5	9	8	19	16
Mfsd4	20	36	55	42	11	27
Cdk18	39	74	56	82	74	105
Lemd1	0	0	2	3	1	1
Mir135b	0	0	0	0	0	0
Klhdc8a	26	18	22	33	128	70
Nuak2	35	59	43	93	216	94
Tmcc2	403	692	426	626	277	849
Dstyk	212	343	289	326	305	404
Rbbp5	111	171	156	190	188	208
Tmem81	22	26	23	13	18	29
Cntn2	1	0	1	2	1	0
Nfasc	7	1	0	11	1	1
Gm10538	0	0	0	0	0	0
Lrrn2	2	10	10	11	3	13
Mdm4	23	52	76	34	50	67
